wikidataID	lang	label	description	alias	P31_is_a	P17_state	P131_provinz	P131_county	P131_barony	P131_civilparish	P131_electoraldevision	P625_coord	P402_osm	P5097_logainm	P1545_geohive	ciic	count	P973_link_townland_ie	comment
Q85393948	en	Crinnaloo North	Crinnaloo North Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942776	Q60554662	Q59724839	52.0666667,-8.928055555555554	5887360			130	1	https://www.townlands.ie/cork/west-muskerry/kilcorney/crinnaloo/crinnaloo-north/	descision for Crinnaloo North, because of http://webgis.archaeology.ie/historicenvironment/
Q85394021	en	Glebe / Shanacloon	Glebe Townland, Co. Cork	An Seantóir	Q2151232	Q27	Q131438	Q162475	Q6942776	Q60554479	Q59724712	51.8494444, -9.115	6133274			131,132,133	3	https://www.townlands.ie/cork/west-muskerry/inchigeelagh/inchigeelagh/glebe/	descision for the Glebe in Inchigeelagh, because it is by far the largest in West Muskerry (see https://en.wikipedia.org/wiki/List_of_townlands_of_the_barony_of_West_Muskerry , 2020-01-08) and the next stone is in Inchigeelagh, adding plausibility.
Q85394084	en	Kealvaugh More	Kealvaugh More Townland, Co. Cork		Q2151232	Q27	Q131438	Q162475	Q6942776	Q60554479	Q59724493	51.8283333,-9.228055555555555	6155931			134	1	https://www.townlands.ie/cork/west-muskerry/inchigeelagh/bealanageary/kealvaugh-more/	
Q85394128	en	Mount Music / Knockoran			Q2221906	Q27	Q131438	Q162475	Q6942776			51.9261111,-9.08388888888889				135	1		location unkown in http://webgis.archaeology.ie/historicenvironment/. coordinate by https://www.townlands.ie/cork/west-muskerry/
Q85394024	en	Ardfert	Ardfert Townland, Co. Kerry	Ard Fhearta	Q2151232	Q27	Q131438	Q184469	Q4863012	Q60553293	Q59725372	52.3288889,-9.772777777777778	6297127	1411932		136	1	https://www.townlands.ie/kerry/clanmaurice/ardfert/tubrid/ardfert/	
Q85394087	en	Fortwilliam	Fortwilliam Townland, Co. Kerry	Clochán Ruairc	Q2151232	Q27	Q131438	Q184469	Q4863012	Q60556207	Q59725218	52.3627778,-9.724166666666667	6297143	24261		137	1	https://www.townlands.ie/kerry/clanmaurice/odorney/abbeydorney/fortwilliam/	
Q85393952	en	Aghacarrible	Aghacarrible Townland, Co. Kerry	Áth an Charbaill	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555545	Q59725031	52.1294444,-10.17611111111111	6197494	22713		138,139,140	3	https://www.townlands.ie/kerry/corkaguiny/kinard/kinard/aghacarrible/	
Q85393955	en	Aglish	Aglish Townland, Co. Kerry	An Eaglais	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555914	Q59725038	52.1330556,-10.138055555555555	6206124	22749		141,142	2	https://www.townlands.ie/kerry/corkaguiny/minard/minard/aglish/	
Q85394130	en	Annagap	Annagap Townland, Co. Kerry	Áth na gCeap	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553502	Q59725010	52.1591667,-10.063055555555556	6148927	22479		143	1	https://www.townlands.ie/kerry/corkaguiny/ballynacourty/ballynacourty/annagap/	
Q85394026	en	Ardrinane	Ardrinane Townland, Co. Kerry	Ard Draighneáin	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553502	Q59725007	52.1430556,-10.049166666666666	6186040	22455		144	1	https://www.townlands.ie/kerry/corkaguiny/ballynacourty/ballinvoher/ardrinane/	
Q85394028	en	Arraglen	Arraglen Townland, Co. Kerry	Airghleann	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553762	Q59725011	52.2675,-10.236944444444443	6194293	22488		145	1	https://www.townlands.ie/kerry/corkaguiny/cloghane/brandon/arraglen/	descision for this townland, because the description says it is NW of Brandon Mountain and S of Masatiompan is
Q85393959	en	Reask	Reask Townland, Co. Kerry	An Riasc	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555877	Q59725035	52.1666667,-10.382222222222223	6196248	22747		146	1	https://www.townlands.ie/kerry/corkaguiny/marhin/marhin/reask/	MacAlister writes Ballinrannig wrongly. In the description it is said that the stone comes from the townland Reask.
Q85393961	en	Ballineesteenig	Ballineesteenig Townland, Co. Kerry	Baile an Ístínigh	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553762	Q59725031	52.1405556,-10.2075	6197800			147	1	https://www.townlands.ie/kerry/corkaguiny/cloghane/kinard/ballineesteenig/	
Q85394310	en	Ballinrannig Townland	Ballinrannig Townland, Co. Kerry	Baile an Reannaigh	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60555877	Q59725035	52.1761111,-10.386111111111111	4288698			148,149,150,151,152,153,154	7	https://www.townlands.ie/kerry/corkaguiny/marhin/marhin/ballinrannig/	
Q85393964	en	Ballintaggart	Ballintaggart Townland, Co. Kerry	Baile an tSagairt	Q2151232	Q27	Q131438	Q184469	Q59419929	Q60553391	Q59725007	52.1725,-10.031111111111112	6185908	22440		155,156,157,158,159,160,161,162,163	9	https://www.townlands.ie/kerry/corkaguiny/ballinvoher/ballinvoher/ballintaggart/	
